/home/stevechang/Workspace/Log/teraterm_240624_143819.log
Index       Time                           Information     FAA        (Block, Page, Die, Frag)
----------------------------------------------------------------------------------------------
1070557,40: [Tue Jun 25 06:33:52.018 2024] EH-RAID-XOR-NG: 33c80f84 4 (  679,    f,  10,    4)
1070579,40: [Tue Jun 25 06:33:52.067 2024] EH-RAID-XOR-NG: 33c80f85 2 (  679,    f,  10,    5)
1070572,40: [Tue Jun 25 06:33:52.048 2024] EH-RAID-XOR-NG: 33c80f86 3 (  679,    f,  10,    6)
1070587,40: [Tue Jun 25 06:33:52.099 2024] EH-RAID-XOR-NG: 33c80f87 3 (  679,    f,  10,    7)
1070936,40: [Tue Jun 25 06:34:23.853 2024] EH-RAID-XOR-NG: 33c80fa4 3 (  679,    f,  14,    4)
1071051,40: [Tue Jun 25 06:34:30.623 2024] EH-RAID-XOR-NG: 33c80fa5 3 (  679,    f,  14,    5)
1070956,40: [Tue Jun 25 06:34:27.132 2024] EH-RAID-XOR-NG: 33c80fa6 2 (  679,    f,  14,    6)
1070980,40: [Tue Jun 25 06:34:27.183 2024] EH-RAID-XOR-NG: 33c80fa7 1 (  679,    f,  14,    7)
1070934,40: [Tue Jun 25 06:34:23.853 2024] EH-RAID-XOR-NG: 33c80fac 2 (  679,    f,  15,    4)
1070574,40: [Tue Jun 25 06:33:52.048 2024] EH-RAID-XOR-NG: 33c80fae 4 (  679,    f,  15,    6)
1070986,40: [Tue Jun 25 06:34:27.196 2024] EH-RAID-XOR-NG: 33c80faf 4 (  679,    f,  15,    7)
1070600,40: [Tue Jun 25 06:34:23.330 2024] EH-RAID-XOR-NG: 33c80fcc 2 (  679,    f,  19,    4)
1070610,40: [Tue Jun 25 06:34:23.378 2024] EH-RAID-XOR-NG: 33c80fcd 2 (  679,    f,  19,    5)
1070615,40: [Tue Jun 25 06:34:23.393 2024] EH-RAID-XOR-NG: 33c80fce 2 (  679,    f,  19,    6)
1070585,40: [Tue Jun 25 06:33:52.099 2024] EH-RAID-XOR-NG: 33c80fcf 2 (  679,    f,  19,    7)
1071032,40: [Tue Jun 25 06:34:30.573 2024] EH-RAID-XOR-NG: 33c80fec 1 (  679,    f,  1d,    4)
1071047,40: [Tue Jun 25 06:34:30.623 2024] EH-RAID-XOR-NG: 33c80fed 1 (  679,    f,  1d,    5)
